Cat,Item Number,Description,Cost,Supplier,Barcode Number,List,Last Cost,Cost at 3/9/2026,In Stock
228,125BK-BOX,30A 125/250V 3P 3W Surface Receptacle,4.2,"Eagle Electric MFG CO., INC.- Cooper Wiring Device",,14.0,4.2,4.2,5.0
228,1263-BOX,30A 125V 2P 3W Receptacle,5.145,"Eagle Electric MFG CO., INC.- Cooper Wiring Device",,12.5,5.145,5.145,25.0
228,1876B-BOX,20A 250v Single Receptacle 6-20R Brown,2.089,"Eagle Electric MFG CO., INC.- Cooper Wiring Device",,6.0,2.089,2.089,5.0
228,1876V-BOX,20A 250v Single Receptacle 6-20R Ivory,1.79,"Eagle Electric MFG CO., INC.- Cooper Wiring Device",,5.75,1.79,1.79,1.0
228,1876W-BOX,20A 250v Single Receptacle 6-20R White,2.69,"Eagle Electric MFG CO., INC.- Cooper Wiring Device",,5.75,2.69,2.69,72.0
228,1877B-BOX,20A 125v Single Receptacle 5-20R Brown,1.353,"Eagle Electric MFG CO., INC.- Cooper Wiring Device",,4.0,1.353,1.353,82.0
228,1877V-BOX,20A 125v Single Receptacle 5-20R Ivory,2.2,"Eagle Electric MFG CO., INC.- Cooper Wiring Device",,4.0,2.2,2.2,0.0
228,1877W-BOX,20A 125v Single Receptacle 5-20R White,2.2,"Eagle Electric MFG CO., INC.- Cooper Wiring Device",,4.0,2.2,2.2,64.0
228,32B-BOX,50A 120/250v 3P 3w Receptacle 10-50 (Range) Use: 80-box Plug,2.76,"Eagle Electric MFG CO., INC.- Cooper Wiring Device",,8.5,2.76,2.76,18.0
228,38B-BOX,30A 120/250v 2P 3w Receptacle 10-30 (Dryer) (Use 80-box Plug),3.02,"Eagle Electric MFG CO., INC.- Cooper Wiring Device",,8.999999999999998,3.02,3.02,22.0
228,40582,Mulberry Clock Hanger Outlet WH,4.5,Mulberry Metal Products Co.,,7.0,4.6,4.6,0.0
228,5251GY-BOX,15A 125V 2P 3W Receptacle Gray,3.0980000000000003,"Eagle Electric MFG CO., INC.- Cooper Wiring Device",,5.75,3.098,3.098,11.0
228,5451GY-BOX,20A 225V 2P 3W Receptacle Gray,0.0,,,0.0,,,0.0
228,5754N,50A 250V 3P 4W Rec,26.8,"Eagle Electric MFG CO., INC.- Cooper Wiring Device",,40.5,,,0.0
228,7750W-BOX,4 USB Multi Charging 5A 5V Decora,18.0,"Eagle Electric MFG CO., INC.- Cooper Wiring Device",,29.0,18.0,18.0,3.0
228,775V-BOX,Clock Hanger Outlet Ivory **DISCONTINUE**,3.06,,,6.750000000000001,3.06,3.06,0.0
228,805B-BOX,20A 125/250V 3P 3W 10-20R Receptacl B,3.375,,,10.0,3.375,3.375,50.0
228,805V-BOX,20A 125/250V 3P 3W Receptacle Ivory,3.375,,,8.0,,,0.0
